 OUTWATCH                  ConvertToHDF5             Do not have               From File                 ************                                                 YES
 ACTION                    ConvertToHDF5             Do not have               From Block                INTERPOLATE GRIDS                                            YES
 FATHER_FILENAME           ConvertToHDF5             Do not have               From Block                D:\GFS\2012\01\20120112_20120113\gfs.hdf5                    YES
 FATHER_GRID_FILENAME      ConvertToHDF5             Do not have               From Block                GFS_Grid.dat                                                 YES
 OUTPUTFILENAME            ConvertToHDF5             Do not have               From Block                GFS.hdf5                                                     YES
 NEW_GRID_FILENAME         ConvertToHDF5             Do not have               From Block                PR_SC_Level2_v02.dat                                         YES
 TYPE_OF_INTERPOLATION     ConvertToHDF5             1                         From Block                1                                                            YES
 INTERPOLATION_WINDOW      ConvertToHDF5             Do not have               From Block                                                                             YES
 START                     ConvertToHDF5             Do not have               From Block                2012.000       1.000000       12.00000      0.0000000E+00  0 YES
 END                       ConvertToHDF5             Do not have               From Block                2012.000       1.000000       13.00000      0.0000000E+00  0 YES
 INTERPOLATION3D           ConvertToHDF5             FALSE                     From Block                FALSE                                                        YES
 INTERPOLATION_GRID_3D     ConvertToHDF5             FALSE                     From Block                FALSE                                                        YES
 NEW_INTERPOLATION         ConvertToHDF5             FALSE                     From Block                FALSE                                                        YES
 INTERPOLATION_WINDOW_AUTO ConvertToHDF5             TRUE                      From Block                TRUE                                                         YES
 DO_NOT_BELIEVE_MAP        ConvertToHDF5             FALSE                     From Block                FALSE                                                        YES
 EXTRAPOLATE_2D            ConvertToHDF5             0                         From Block                0                                                            YES
 EXTRAPOLATE_LIMIT         ConvertToHDF5             -2.4749999E+15            From Block                -2.4749999E+15                                               YES
 EXTRAPOLATE_PROFILE       ConvertToHDF5             TRUE                      From Block                TRUE                                                         YES
 BASE_GROUP                ConvertToHDF5             /Results                  From Block                /Results                                                     YES
 DO_NOT_BELIEVE_TIME       ConvertToHDF5             FALSE                     From Block                FALSE                                                        YES
 NUM_SUB_GROUPS            ConvertToHDF5             0                         From Block                0                                                            YES
 STATIONARY_MAPPING        ConvertToHDF5             FALSE                     From Block                FALSE                                                        YES
 NULL_PRECIPITATION        ConvertToHDF5             FALSE                     From Block                FALSE                                                        YES
 ILB_IUB                   HorizontalGrid            Do not have               From File                 1         359                                                YES
 JLB_JUB                   HorizontalGrid            Do not have               From File                 1         718                                                YES
 HALOPOINTS                HorizontalGrid            3                         From File                 3                                                            YES
 COORD_TIP                 HorizontalGrid            Do not have               From File                 4                                                            YES
 LATITUDE                  HorizontalGrid            Do not have               From File                 0.0000000E+00                                                YES
 LONGITUDE                 HorizontalGrid            Do not have               From File                 0.0000000E+00                                                YES
 DATUM                     HorizontalGrid            3                         From File                 3                                                            YES
 EASTING                   HorizontalGrid            0.0000000E+00             From File                 0.0000000E+00                                                YES
 NORTHING                  HorizontalGrid            0.0000000E+00             From File                 0.0000000E+00                                                YES
 PROJ_TYPE                 HorizontalGrid            11                        From File                 11                                                           YES
 SP1                       HorizontalGrid            30.00000                  From File                 30.00000                                                     YES
 SP2                       HorizontalGrid            60.00000                  From File                 60.00000                                                     YES
 ORIGIN                    HorizontalGrid            Do not have               From File                 0.0000000E+00  0.0000000E+00                                 YES
 GRID_ANGLE                HorizontalGrid            0.0000000E+00             From File                 0.0000000E+00                                                YES
 CONSTANT_SPACING_Y        Unknown Client            Do not have               From File                 FALSE                                                        YES
 CONSTANT_SPACING_X        Unknown Client            Do not have               From File                 FALSE                                                        YES
 FILL_VALUE                ModuleGridData            -99.00000                 From File                 -99.00000                                                    YES
 TYPE_ZUV                  ModuleGridData            Z                         From File                 Z                                                            YES
 EVOLUTION                 ModuleGridData            FALSE                     From File                 FALSE                                                        YES
 CONSTANT_IN_SPACE         ModuleGridData            FALSE                     From File                 FALSE                                                        YES
 DEFAULT_VALUE             ModuleGridData            0.0000000E+00             From File                 0.0000000E+00                                                YES
 ILB_IUB                   HorizontalGrid            Do not have               From File                 1         570                                                YES
 JLB_JUB                   HorizontalGrid            Do not have               From File                 1         310                                                YES
 HALOPOINTS                HorizontalGrid            3                         From File                 3                                                            YES
 COORD_TIP                 HorizontalGrid            Do not have               From File                 4                                                            YES
 LATITUDE                  HorizontalGrid            Do not have               From File                 -26.62467                                                    YES
 LONGITUDE                 HorizontalGrid            Do not have               From File                 -48.04146                                                    YES
 DATUM                     HorizontalGrid            3                         From File                 3                                                            YES
 EASTING                   HorizontalGrid            0.0000000E+00             From File                 0.0000000E+00                                                YES
 NORTHING                  HorizontalGrid            0.0000000E+00             From File                 0.0000000E+00                                                YES
 PROJ_TYPE                 HorizontalGrid            11                        From File                 11                                                           YES
 SP1                       HorizontalGrid            30.00000                  From File                 30.00000                                                     YES
 SP2                       HorizontalGrid            60.00000                  From File                 60.00000                                                     YES
 ORIGIN                    HorizontalGrid            Do not have               From File                 -48.90264      -28.20813                                     YES
 GRID_ANGLE                HorizontalGrid            0.0000000E+00             From File                 0.0000000E+00                                                YES
 CONSTANT_SPACING_Y        Unknown Client            Do not have               From File                 FALSE                                                        YES
 CONSTANT_SPACING_X        Unknown Client            Do not have               From File                 FALSE                                                        YES
 FILL_VALUE                ModuleGridData            -99.00000                 From File                 -99.00000                                                    YES
 TYPE_ZUV                  ModuleGridData            Z                         From File                 Z                                                            YES
 EVOLUTION                 ModuleGridData            FALSE                     From File                 FALSE                                                        YES
 CONSTANT_IN_SPACE         ModuleGridData            FALSE                     From File                 FALSE                                                        YES
 DEFAULT_VALUE             ModuleGridData            0.0000000E+00             From File                 0.0000000E+00                                                YES
